Company Name,Industry,Location,Sales Revenue ($M)
WOOLWORTHS GROUP LIMITED,Wholesale Trade,,44955.81M
BUNNINGS PROPERTIES PTY. LTD,Wholesale Trade,,30789.24M
GLENCORE COAL SALES PTY LIMITED,Wholesale Trade,,29478.32M
MOUNT ISA MINES LIMITED,Wholesale Trade,,29478.32M
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",Wholesale Trade,,29330.72M
GLENCORE HOLDINGS PTY LIMITED,Wholesale Trade,,25941M
AMPOL LIMITED,Wholesale Trade,,22639.33M
COASTAL CONTACTS (AUS) PTY LTD,Wholesale Trade,,22431.98M
AUSTRALIAN GROCERY WHOLESALERS PTY LIMITED,Wholesale Trade,,19387.05M
UCC COFFEE AUSTRALIA LIMITED,Wholesale Trade,,19172.47M
GLENCORE COAL PTY LIMITED,Wholesale Trade,,18044.93M
J. BLACKWOOD & SON PTY LTD,Wholesale Trade,,15851.88M
LIFTCO PTY LIMITED,Wholesale Trade,,15851.88M
WESFARMERS INDUSTRIAL AND SAFETY PTY LTD,Wholesale Trade,,15851.88M
NSW BASE METALS PTY LTD,Wholesale Trade,,15293.1M
GLENCORE AUSTRALIA OIL PTY LIMITED,Wholesale Trade,,14017.97M
GLENCORE COAL LOGISTICS SERVICES PTY LIMITED,Wholesale Trade,,14017.97M
GLENCORE AUSTRALIA FINANCE PTY LTD,Wholesale Trade,,14017.97M
GLENCORE AUSTRALIA FINANCE GP PTY LTD,Wholesale Trade,,14017.97M
GLENCORE NEWPAC PTY LIMITED,Wholesale Trade,,14017.97M
GLENCORE OXYFUEL PTY LIMITED,Wholesale Trade,,14017.97M
GLENCORE TECHNOLOGY PTY LIMITED,Wholesale Trade,,12660.01M
METCASH LIMITED,Wholesale Trade,,10402.78M
ENDEAVOUR GROUP LIMITED,Wholesale Trade,,8147.01M
APPLE PTY LIMITED,Wholesale Trade,,8124.11M
"COSTCO WHOLESALE AUSTRALIA, PTY. LTD.",Wholesale Trade,,7703.86M
SEABEST INTERNATIONAL PTY LTD,Wholesale Trade,,7673.32M
LAP FOODS PTY LTD,Wholesale Trade,,7445.23M
PRIMO MEATS ADMIN PTY LTD,Wholesale Trade,,7445.23M
AUSTRALIAN CONSOLIDATED FOOD INVESTMENTS PTY LIMITED,Wholesale Trade,,7445.23M
SGH LIMITED,Wholesale Trade,,7027.45M
AVON PRODUCTS PTY. LIMITED,Wholesale Trade,,6769.06M
PALLION GROUP PTY LIMITED,Wholesale Trade,,6311.63M
BULLIVANTS PTY LIMITED,Wholesale Trade,,6132.48M
MICROSOFT PTY LTD,Wholesale Trade,,5310.05M
OAKY CREEK COAL PTY. LTD.,Wholesale Trade,,5075.3M
SIMS LIMITED,Wholesale Trade,,4781.38M
RESMED INC.,Wholesale Trade,,4685.3M
THE WORKWEAR GROUP HOLDING PTY LTD,Wholesale Trade,,4567.68M
ARISTOCRAT LEISURE LIMITED,Wholesale Trade,,4475.73M
GRAINCORP LIMITED,Wholesale Trade,,4410.12M
CHEVRON AUSTRALIA DOWNSTREAM HOLDINGS PTY LTD,Wholesale Trade,,4353.51M
CCEP HOLDINGS (AUSTRALIA) PTY LTD,Wholesale Trade,,4062.12M
INGHAM 2 PTY LIMITED,Wholesale Trade,,4056.23M
LIBERTY HOLDINGS AUSTRALIA PTY LTD,Wholesale Trade,,3966.36M
JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY,Wholesale Trade,,3877.5M
RIVALEA HOLDINGS PTY LIMITED,Wholesale Trade,,3867.9M
WESTMEAD MEDICAL SUPPLIES PTY LIMITED,Wholesale Trade,,3836.28M
THE LSW GROUP PTY. LTD.,Wholesale Trade,,3717.14M
LIBERTY INFRABUILD LTD,Wholesale Trade,,3265.36M
